matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
96,whitlow_1978_thesis,es096,ex021,con017,out055,20,20,-0.07414655567416602,0.00121403392321814
97,whitlow_1978_thesis,es097,ex022,con017,out055,20,20,0.07457502757964032,0.00130783742977615
98,whitlow_1978_thesis,es098,ex021,con017,out055,20,20,-0.43310548002795346,0.00243239724520831
99,whitlow_1978_thesis,es099,ex022,con017,out055,20,20,0.09568221340085256,0.00303372600276183
100,whitlow_1978_thesis,es100,ex021,con017,out056,20,20,-0.1952540609083195,0.01243187836765215
101,whitlow_1978_thesis,es101,ex022,con017,out056,20,20,-0.18796868879689757,0.01237729615490145
102,whitlow_1978_thesis,es102,ex021,con017,out056,20,20,-0.11896034307392842,0.00833590939795343
103,whitlow_1978_thesis,es103,ex022,con017,out056,20,20,-0.2843457552786482,0.00921021328553708
104,whitlow_1978_thesis,es104,ex021,con017,out056,20,20,-0.03960830831880593,0.01328828043839323
105,whitlow_1978_thesis,es105,ex022,con017,out056,20,20,-0.22058047590915375,0.01473030257412246
106,whitlow_1978_thesis,es106,ex021,con017,out057,20,20,0.3083951453245886,0.02518284764107573
107,whitlow_1978_thesis,es107,ex022,con017,out057,20,20,0.1484913295036004,0.02680415722764638
108,whitlow_1978_thesis,es108,ex021,con017,out057,20,20,-0.11170005374625236,0.02390919493774669
109,whitlow_1978_thesis,es109,ex022,con017,out057,20,20,-0.190198715178682,0.02503018901470754
110,whitlow_1978_thesis,es110,ex021,con017,out057,20,20,0.8018696780352111,0.034097396039294
111,whitlow_1978_thesis,es111,ex022,con017,out057,20,20,0.906744038411518,0.033650599710504
112,whitlow_1978_thesis,es112,ex021,con018,out058,20,20,-0.44213227244127584,9.187244126501104e-4
113,whitlow_1978_thesis,es113,ex022,con018,out058,20,20,-0.2850706198520561,9.665796659311438e-4
114,whitlow_1978_thesis,es114,ex021,con018,out058,20,20,-0.29887557231283,0.00138702711476697
115,whitlow_1978_thesis,es115,ex022,con018,out058,20,20,-0.1501539890590236,0.00146968586020528
116,whitlow_1978_thesis,es116,ex021,con018,out058,20,20,-0.3349395167377667,0.0022736724322598
117,whitlow_1978_thesis,es117,ex022,con018,out058,20,20,0.1938481766910394,0.00290876858884939
118,whitlow_1978_thesis,es118,ex021,con018,out059,20,20,-0.09557814934087412,0.01297587768627493
119,whitlow_1978_thesis,es119,ex022,con018,out059,20,20,-0.08829277722945213,0.0129236290380846
120,whitlow_1978_thesis,es120,ex021,con018,out059,20,20,0.47618429493802694,0.01184838261558092
121,whitlow_1978_thesis,es121,ex022,con018,out059,20,20,0.31079888273330697,0.01247174810151425
