study_id,title,doi,publish_in,ex_id,con_id,out_id,es_id,shared_control,sp_latin,sp_common,strain,dam_age,gest_stage_ex,exposure_span_d,exposure_type,exposure_session_duration_h,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,offspring_sex,offspring_age_d,experimental_procedures,outcome_type,assay_type,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,c_mean,c_sd,c_n,c_se,c_mean_method,c_sd_method,c_se_method,ex_mean,ex_sd,ex_n,ex_se,ex_mean_method,ex_sd_method,ex_se_method,c_mean_continuity_corrected,ex_mean_continuity_corrected,c_sd_continuity_corrected,ex_sd_continuity_corrected,lnRR,lnRR_var
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out013,es021,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),time,seconds,light_phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_f_oa,PS_f_oa,Con_PS_f_oa,independent,yes,45.56,30.7,37,5.05,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,27.88,17.52,49,2.5,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.49322689281086113,0.020330881736930546
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out013,es022,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),time,seconds,light_phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_m_oa,PS_m_oa,Con_PS_m_oa,independent,yes,53.82,29.51,35,4.99,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,38.35,24.99,44,3.77,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.33836027480339675,0.018240282821045596
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out014,es023,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Head-dipping,count,count,light_phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_f_hd,PS_f_hd,Con_PS_f_hd,independent,yes,10.2,5.76,37,0.95,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,4.46,3.09,49,0.44,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.8266502886250093,0.01841477632400082
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out014,es024,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Head-dipping,count,count,light_phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_m_hd,PS_m_hd,Con_PS_m_hd,independent,yes,11.55,6.92,35,1.17,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,8.55,5.26,44,0.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.3015813068851739,0.018857796472043983
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out015,es025,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Total freezing time,time,seconds,light_phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_f_fr,PS_f_fr,Con_PS_f_fr,independent,no,2.59,3.45,37,0.57,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,20.84,19.55,49,2.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,2.070218583904154,0.06591515739157564
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out015,es026,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Total freezing time,time,seconds,light_phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_m_fr,PS_m_fr,Con_PS_m_fr,independent,no,1.23,2.02,35,0.34,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,3.27,3.72,44,0.56,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.953952662658561,0.10647208562557989
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out016,es027,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Total grooming time,time,seconds,light_phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_f_gd,PS_f_gd,Con_PS_f_gd,independent,no,22.57,14.12,37,2.32,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,30.57,22.63,49,3.23,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.30370033979448874,0.021761637596990485
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out016,es028,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Total grooming time,time,seconds,light_phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_m_gd,PS_m_gd,Con_PS_m_gd,independent,no,28.31,19.54,35,3.3,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,48.4,27.76,44,4.19,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.5332172632755117,0.02108780576417853
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out017,es029,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Mean grooming duration,time,seconds,light_phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_f_mg,PS_f_mg,Con_PS_f_mg,independent,no,6.97,3.61,37,0.59,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,7.61,4.63,49,0.66,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.08800004153386727,0.01480449326153831
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out017,es030,no,Rattus norvegicus,brown rat,Wistar rat,16,"early, mid, late",21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Mean grooming duration,time,seconds,light_phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_m_mg,PS_m_mg,Con_PS_m_mg,independent,no,7.13,4.67,35,0.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,12.15,7.17,44,1.08,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.530846737925981,0.020171744607558773
