study_id,title,doi,publish_in,ex_id,con_id,out_id,es_id,shared_control,sp_latin,sp_common,strain,dam_age,gest_stage_ex_standardised,exposure_span_d,exposure_type,exposure_session_duration_h,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,offspring_sex,offspring_age_d,experimental_procedures,outcome_type,assay_type,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,c_mean,c_sd,c_n,c_se,c_mean_method,c_sd_method,c_se_method,ex_mean,ex_sd,ex_n,ex_se,ex_mean_method,ex_sd_method,ex_se_method
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out022,es039,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Total grooming time,time,seconds,light_phase,Fig. 3. e,abramova_2024_devneur_fig3e,Con_f_grd,PS_f_grd,Con_PS_f_grd,independent,no,25.07,13.32,37,2.19,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,29.12,17.2,49,2.46,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out022,es040,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Total grooming time,time,seconds,light_phase,Fig. 3. e,abramova_2024_devneur_fig3e,Con_m_grd,PS_m_grd,Con_PS_m_grd,independent,no,17.34,8.33,35,1.41,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,40.38,25.3,44,3.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out023,es041,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Grooming frequency,count,count,light_phase,Fig. 3. f,abramova_2024_devneur_fig3f,Con_f_gf,PS_f_gf,Con_PS_f_gf,independent,no,3.62,2.13,37,0.35,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,4.49,2.18,49,0.31,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out023,es042,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Grooming frequency,count,count,light_phase,Fig. 3. f,abramova_2024_devneur_fig3f,Con_m_gf,PS_m_gf,Con_PS_m_gf,independent,no,3.17,1.5,35,0.25,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,4.46,2.78,44,0.42,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out024,es043,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,95,none,depression,Forced Swimming Test (FST),Total immobility time,time,seconds,light_phase,Fig.4. a,abramova_2024_devneur_fig4a,Con_f_ti,PS_f_ti,Con_PS_f_ti,independent,no,49.76,27.37,14,7.32,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,86.12,19.43,13,5.39,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out024,es044,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,95,none,depression,Forced Swimming Test (FST),Total immobility time,time,seconds,light_phase,Fig.4. a,abramova_2024_devneur_fig4a,Con_m_ti,PS_m_ti,Con_PS_m_ti,independent,no,103.97,44.65,12,12.89,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,128.29,46.06,14,12.31,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out025,es045,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,80,none,depression,Sucrose Preference Test (SPT),Sucrose preference index,index,percent,light_phase,author's email,,Con_f_su,PS_f_su,Con_PS_f_su,independent,yes,52.8,26.15587888028234,37,4.3,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,59.8,37.800000000000004,49,5.4,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out025,es046,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,80,none,depression,Sucrose Preference Test (SPT),Sucrose preference index,index,percent,light_phase,author's email,,Con_m_su,PS_m_su,Con_PS_m_su,independent,yes,54.8,30.763614872118005,35,5.2,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,57.8,28.522973197056437,44,4.3,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out026,es047,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Avoidance latency,latency,seconds,light_phase,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_BL,IE_BL,C_IE_BL,dependent,no,9.33,25.13,12,7.25,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,6.22,14.36,12,4.15,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out026,es048,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Avoidance latency,latency,seconds,light_phase,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_A1,IE_A1,C_IE_A1,dependent,no,56.48,118.46,12,34.2,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,86.53,131.03,12,37.82,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out026,es049,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Avoidance latency,latency,seconds,light_phase,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_A2,IE_A2,C_IE_A2,dependent,no,103.11,129.23,12,37.31,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,136.27,147.18,12,42.49,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out027,es050,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Escape latency,latency,seconds,light_phase,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F1,IE_F1,C_IE_F1,dependent,yes,5.34,3.86,12,1.11,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,6.54,8.21,12,2.37,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out027,es051,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Escape latency,latency,seconds,light_phase,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F2,IE_F2,C_IE_F2,dependent,yes,6.8,8.02,12,2.31,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,6.6,4.06,12,1.17,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
oliveira_2015_jbehavbraisci,Intrauterine Exposure to Chronic 22 kHz Sound Affects Inhibitory Avoidance and Serotonergic Parameters in Forebrain Areas of Dams and Rat Offspring,10.4236/jbbs.2015.52003,Journal of Behavioral and Brain Science,ex012,con008,out027,es052,yes,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,19,intermittent,1,ultrasound,ultrasound,65,"22,000",silence,male,60,none,anxiety,Elevated T Maze (ETM),Escape latency,latency,seconds,light_phase,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F3,IE_F3,C_IE_F3,dependent,yes,6.46,7.72,12,2.23,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,13.2,15.44,12,4.46,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
pavlov_2023_molsci,Maternal Chronic Ultrasound Stress Provokes Immune Activation and Behavioral Deficits in the Offspring: A Mouse Model of Neurodevelopmental Pathology,10.3390/ijms241411712,International Journal of Molecular Sciences,ex013,con009,out028,es053,yes,Mus musculus,albino house mouse,BALB/c mice,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",unclear,female,60,none,depression,Sucrose Preference Test (SPT),Sucrose preference index,index,percent,dark_phase,Figure 4A,pavlov_2023_molsci_Fig4A,NonSt_su,US_su,NonSt_US_su,independent,yes,71.6,9.72,10,3.07,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,40.48,13.49,14,3.61,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
pavlov_2023_molsci,Maternal Chronic Ultrasound Stress Provokes Immune Activation and Behavioral Deficits in the Offspring: A Mouse Model of Neurodevelopmental Pathology,10.3390/ijms241411712,International Journal of Molecular Sciences,ex013,con009,out029,es054,yes,Mus musculus,albino house mouse,BALB/c mice,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",unclear,female,60,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,dark_phase,Figure 4C,pavlov_2023_molsci_Fig4C,NonSt_sq,US_sq,NonSt_US_sq,independent,yes,10.55,6.17,10,1.95,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,6.4,3.17,14,0.85,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
pavlov_2023_molsci,Maternal Chronic Ultrasound Stress Provokes Immune Activation and Behavioral Deficits in the Offspring: A Mouse Model of Neurodevelopmental Pathology,10.3390/ijms241411712,International Journal of Molecular Sciences,ex013,con009,out030,es055,yes,Mus musculus,albino house mouse,BALB/c mice,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",unclear,female,60,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,dark_phase,Figure 4D,pavlov_2023_molsci_Fig4D,NonSt_csq,US_csq,NonSt_US_csq,independent,yes,71.66,17.5,10,5.53,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,25.99,11.15,14,2.98,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
pavlov_2023_molsci,Maternal Chronic Ultrasound Stress Provokes Immune Activation and Behavioral Deficits in the Offspring: A Mouse Model of Neurodevelopmental Pathology,10.3390/ijms241411712,International Journal of Molecular Sciences,ex013,con009,out031,es056,yes,Mus musculus,albino house mouse,BALB/c mice,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",unclear,female,60,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),time,seconds,dark_phase,Figure 4E,pavlov_2023_molsci_Fig4E,NonSt_oat,US_oat,NonSt_US_oat,independent,yes,69.17,20.84,10,6.59,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,25.42,9.56,14,2.55,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
pavlov_2023_molsci,Maternal Chronic Ultrasound Stress Provokes Immune Activation and Behavioral Deficits in the Offspring: A Mouse Model of Neurodevelopmental Pathology,10.3390/ijms241411712,International Journal of Molecular Sciences,ex013,con009,out032,es057,yes,Mus musculus,albino house mouse,BALB/c mice,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",unclear,female,60,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),count,count,dark_phase,Figure 4F,pavlov_2023_molsci_Fig4F,NonSt_oae,US_oae,NonSt_US_oae,independent,yes,13.27,5.44,10,1.72,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,8.68,4.23,14,1.13,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex014,con010,out033,es058,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,male,35,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Fig. 2a,nishio_2006_intjdevlneur_fig2a,pre_n_m_oat,pre_so_m_oat,pre_n_m_oat,independent,yes,27.16,13.81,5,6.17,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,24.15,7.94,5,3.55,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex015,con011,out033,es059,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,female,35,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Fig. 2a,nishio_2006_intjdevlneur_fig2a,pre_n_f_oat,pre_so_f_oat,pre_n_f_oat,independent,yes,18.69,6.84,5,3.06,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,29.23,13.81,5,6.17,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex014,con010,out034,es060,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,male,35,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_m_oae,pre_so_m_oae,pre_n_m_oae,independent,yes,39.61,9.64,5,4.31,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,46.66,7.78,5,3.48,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex015,con011,out034,es061,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,female,35,none,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_f_oae,pre_so_f_oae,pre_n_f_oae,independent,yes,33.07,7.6,5,3.4,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,42.1,14.82,5,6.63,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex014,con010,out035,es062,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,male,35,none,anxiety,Elevated Plus Maze (EPM),Entries to closed arms,count,count,not_reported,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_m_cae,pre_so_m_cae,pre_n_m_cae,independent,yes,3.97,1.71,5,0.76,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,3.58,1.18,5,0.53,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
nishio_2006_intjdevlneur,Effects of perinatal stress on the anxiety-related behavior of the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,ex015,con011,out035,es063,yes,Mus musculus,albino house mouse,ddY mice,,mid_late,9,intermittent,0.25,other/unclear,unclear,90,,unclear,female,35,none,anxiety,Elevated Plus Maze (EPM),Entries to closed arms,count,count,not_reported,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_f_cae,pre_so_f_cae,pre_n_f_cae,independent,yes,6.68,2.41,5,1.08,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,4.55,1.15,5,0.51,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out036,es064,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total immobility time,time,seconds,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_in,PSN_in,CON_PSN_in1,independent,no,45.87,24.869999999999997,9,8.29,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,26.79,24.855502408923464,10,7.86,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out036,es065,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total immobility time,time,seconds,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_in,PSN_in,CON_PSN_in2,independent,no,79.05,40.56,9,13.52,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,48.87,40.57202237996031,10,12.83,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out037,es066,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total swimming time,time,seconds,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_sw,PSN_sw,CON_PSN_sw1,independent,yes,20.09,18.84,9,6.28,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,39.08,18.84717485460354,10,5.96,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out037,es067,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total swimming time,time,seconds,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_sw,PSN_sw,CON_PSN_sw2,independent,yes,31.89,39.45,9,13.15,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,33.44,39.46522519890138,10,12.48,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out038,es068,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total diving time,count,count,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_di,PSN_di,CON_PSN_di1,independent,yes,5.44,4.47,9,1.49,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,6.2,4.490434277439099,10,1.42,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out038,es069,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total diving time,count,count,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_di,PSN_di,CON_PSN_di2,independent,yes,2.56,2.8499999999999996,9,0.95,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,1.7,2.8460498941515415,10,0.9,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out039,es070,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total jumping time,count,count,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_ju,PSN_ju,CON_PSN_ju1,independent,yes,26.78,14.669999999999998,9,4.89,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,23,14.67296834318128,10,4.64,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
uygur_2011_ankarauniv,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,ex016,con012,out039,es071,yes,Rattus norvegicus,albino rat,Sprague-Dawley,,mid_late,9,intermittent,0.75,white noise,audible,100,,unclear,male,70,none,depression,Forced Swimming Test (FST),Total jumping time,count,count,light_phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_ju,PSN_ju,CON_PSN_ju2,independent,yes,16,11.790000000000001,9,3.93,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged,18.4,11.795295672428056,10,3.73,Extracted mean used unchanged,SD = SE * sqrt(n),Extracted SE used unchanged
morra_1965_physiolrec,PRENATAL SOUND STIMULATION ON POSTNATAL RAT OFFSPRING OPEN FIELD BEHAVIORS,10.1007/BF03393632,The psychological Record,ex017,con013,out040,es072,yes,Rattus norvegicus,albino rat,Wistar rat,18,mid_late,9,intermittent,0.005,door bell,audible,85,,unclear,mixed,25,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,not_reported,Table 2 and text,,GIII_csq,GII_csq,GIII_GII_csq,independent,yes,19.5,8.4,63,1.0583005244258363,Extracted mean used unchanged,Extracted SD used unchanged,SE = SD / sqrt(n),14.2,8.3,35,1.4029560628493376,Extracted mean used unchanged,Extracted SD used unchanged,SE = SD / sqrt(n)
morra_1965_physiolrec,PRENATAL SOUND STIMULATION ON POSTNATAL RAT OFFSPRING OPEN FIELD BEHAVIORS,10.1007/BF03393632,The psychological Record,ex017,con013,out041,es073,yes,Rattus norvegicus,albino rat,Wistar rat,18,mid_late,9,intermittent,0.005,door bell,audible,85,,unclear,mixed,25,none,anxiety,Open Field Test (OFT),Initial latency to move,latency,seconds,not_reported,Table 2 and text,,GIII_il,GII_il,GIII_GII_il,independent,no,13.1,7.9,63,0.995306445590965,Extracted mean used unchanged,Extracted SD used unchanged,SE = SD / sqrt(n),18.8,8.2,35,1.386052977754767,Extracted mean used unchanged,Extracted SD used unchanged,SE = SD / sqrt(n)
abramova_2021_front,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,ex018,con014,out042,es074,yes,Rattus norvegicus,albino rat,Wistar rat,,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,20,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,light_phase,Figure 2a,OF-pups-abramova2015,C_f_sq,PS_f_sq,C_PS_f_sq,independent,yes,29,15.7903,25,3.1581,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,24.8421,12.6985,19,2.9132,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2021_front,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,ex019,con015,out042,es075,yes,Rattus norvegicus,albino rat,Wistar rat,,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,20,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,light_phase,Figure 2a,OF-pups-abramova2016,C_m_sq,PS_m_sq,C_PS_m_sq,independent,yes,33.7391,16.896,23,3.5231,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,22.1667,14.5733,18,3.435,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
