study_id,es_id,n_raw,n_final,mean_raw,median_raw,q1_raw,q3_raw,mean_pre_zero_correction,mean_analysis_primary,mean_analysis_sensitivity_08,mean_source,exact_zero_before_correction,zero_correction_applied,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_correction_unavailable,zero_mean_exclusion_sensitivity,sd_raw,sd_final,sd_source,se_raw,se_final,se_source,ci_raw,iqr_all_zero,iqr_skewness_review,sd_assumed_sqrt_mean,se_inconsistent_with_sd,se_matches_mean_over_sqrt_n,arm
oliveira_2015_jbehavbraisci,es052,12,12,6.46,,,,6.46,6.46,6.46,raw_mean,FALSE,FALSE,5.34,4.806,4.272,FALSE,FALSE,7.72,7.72,raw_sd,2.23,2.23,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
pavlov_2023_molsci,es053,10,10,71.6,,,,71.6,71.6,71.6,raw_mean,FALSE,FALSE,40.48,36.431999999999995,32.384,FALSE,FALSE,9.72,9.72,raw_sd,3.07,3.07,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
pavlov_2023_molsci,es054,10,10,10.55,,,,10.55,10.55,10.55,raw_mean,FALSE,FALSE,6.4,5.760000000000001,5.120000000000001,FALSE,FALSE,6.17,6.17,raw_sd,1.95,1.95,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
pavlov_2023_molsci,es055,10,10,71.66,,,,71.66,71.66,71.66,raw_mean,FALSE,FALSE,0.18,0.162,0.144,FALSE,FALSE,17.5,17.5,raw_sd,5.53,5.53,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
pavlov_2023_molsci,es056,10,10,69.17,,,,69.17,69.17,69.17,raw_mean,FALSE,FALSE,25.42,22.878000000000004,20.336000000000002,FALSE,FALSE,20.84,20.84,raw_sd,6.59,6.59,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
pavlov_2023_molsci,es057,10,10,13.27,,,,13.27,13.27,13.27,raw_mean,FALSE,FALSE,8.68,7.812,6.944,FALSE,FALSE,5.44,5.44,raw_sd,1.72,1.72,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
nishio_2006_intjdevlneur,es058,5,5,27.16,,,,27.16,27.16,27.16,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,13.81,13.81,raw_sd,6.17,6.17,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
nishio_2006_intjdevlneur,es059,5,5,18.69,,,,18.69,18.69,18.69,raw_mean,FALSE,FALSE,16.92,15.228000000000002,13.536000000000001,FALSE,FALSE,6.84,6.84,raw_sd,3.06,3.06,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
nishio_2006_intjdevlneur,es060,5,5,39.61,,,,39.61,39.61,39.61,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,9.64,9.64,raw_sd,4.31,4.31,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
nishio_2006_intjdevlneur,es061,5,5,33.07,,,,33.07,33.07,33.07,raw_mean,FALSE,FALSE,14.27,12.843,11.416,FALSE,FALSE,7.6,7.6,raw_sd,3.4,3.4,raw_se_verified,,FALSE,FALSE,FALSE,FALSE,FALSE,control
