study_id,es_id,arm,se_recalculated,se_analysis_column,abs_diff
uygur_2011_ankarauniv,es064,experimental,7.86,7.86,0
uygur_2011_ankarauniv,es065,experimental,12.83,12.83,0
uygur_2011_ankarauniv,es066,experimental,5.96,5.96,0
uygur_2011_ankarauniv,es067,experimental,12.48,12.48,0
uygur_2011_ankarauniv,es068,experimental,1.42,1.42,0
uygur_2011_ankarauniv,es069,experimental,0.9,0.9,0
uygur_2011_ankarauniv,es070,experimental,4.64,4.64,0
uygur_2011_ankarauniv,es071,experimental,3.73,3.73,0
morra_1965_physiolrec,es072,experimental,1.4029560628493376,1.402956,6.284933751210531e-8
morra_1965_physiolrec,es073,experimental,1.386052977754767,1.386053,2.224523298899328e-8
abramova_2021_front,es074,experimental,2.9132356965553283,2.913236,3.0344467161214084e-7
abramova_2021_front,es075,experimental,3.4349597514219714,3.43496,2.4857802838340604e-7
abramova_2021_front,es076,experimental,1.0142010762949794,1.014201,7.629497944527941e-8
abramova_2021_front,es077,experimental,0.98398622647316,0.983986,2.264731600032377e-7
abramova_2021_front,es078,experimental,0.46548452402336976,0.465485,4.7597663022092007e-7
abramova_2021_front,es079,experimental,0.5476542020289812,0.547654,2.0202898121102209e-7
abramova_2021_front,es080,experimental,1.1743791416834055,1.174379,1.4168340545239744e-7
abramova_2021_front,es081,experimental,0.5167772059171685,0.516777,2.059171684276606e-7
abramova_2021_front,es082,experimental,0.408818837757341,0.408819,1.6224265897424317e-7
abramova_2021_front,es083,experimental,0.41221968320571767,0.41222,3.167942823067982e-7
abramova_2021_front,es084,experimental,5.664320352410944,5.66432,3.5241094398230643e-7
abramova_2021_front,es085,experimental,4.076941998061238,4.076942,1.9387620397992578e-9
abramova_2021_front,es086,experimental,12.353509612741849,12.35351,3.8725815088014315e-7
abramova_2021_front,es087,experimental,13.077468513524407,13.077469,4.864755940303667e-7
badache_2017_stress,es088,experimental,12.97,12.97,0
badache_2017_stress,es089,experimental,2.23,2.23,0
badache_2017_stress,es090,experimental,0.07,0.07,0
badache_2017_stress,es091,experimental,0.48,0.48,0
badache_2017_stress,es092,experimental,3.67,3.67,0
badache_2017_stress,es093,experimental,0.51,0.51,0
whitlow_1978_thesis,es094,experimental,1.8871742909704974,1.887174,2.9097049747406345e-7
whitlow_1978_thesis,es095,experimental,1.7445802360453357,1.74458,2.3604533572196829e-7
whitlow_1978_thesis,es096,experimental,1.4628803922399125,1.46288,3.9223991254999646e-7
whitlow_1978_thesis,es097,experimental,1.3579864434153972,1.357986,4.4341539728876e-7
whitlow_1978_thesis,es098,experimental,1.156226029805591,1.156226,2.9805591106324414e-8
whitlow_1978_thesis,es099,experimental,0.8873164948314665,0.887316,4.948314664687814e-7
whitlow_1978_thesis,es100,experimental,0.42901200216310964,0.429012,2.1631096358554203e-9
whitlow_1978_thesis,es101,experimental,0.4305772497473595,0.430577,2.497473595153288e-7
whitlow_1978_thesis,es102,experimental,0.5324748674820249,0.532475,1.325179751487937e-7
whitlow_1978_thesis,es103,experimental,0.49001193658930386,0.490012,6.341069613835515e-8
whitlow_1978_thesis,es104,experimental,0.4295262977979346,0.429526,2.977979345897275e-7
whitlow_1978_thesis,es105,experimental,0.3920945198545881,0.392095,4.801454119296444e-7
whitlow_1978_thesis,es106,experimental,0.3448016821304676,0.344802,3.178695324179692e-7
whitlow_1978_thesis,es107,experimental,0.31801358776002003,0.318014,4.122399799855181e-7
whitlow_1978_thesis,es108,experimental,0.31486073191174535,0.314861,2.680882546512997e-7
whitlow_1978_thesis,es109,experimental,0.30258471871527154,0.302585,2.8128472845390107e-7
whitlow_1978_thesis,es110,experimental,0.3586876642707413,0.358688,3.357292587269356e-7
whitlow_1978_thesis,es111,experimental,0.37818617703453944,0.378186,1.770345394169759e-7
whitlow_1978_thesis,es112,experimental,1.8871742909704974,1.887174,2.9097049747406345e-7
whitlow_1978_thesis,es113,experimental,1.7445802360453357,1.74458,2.3604533572196829e-7
whitlow_1978_thesis,es114,experimental,1.4628803922399125,1.46288,3.9223991254999646e-7
whitlow_1978_thesis,es115,experimental,1.3579864434153972,1.357986,4.4341539728876e-7
whitlow_1978_thesis,es116,experimental,1.156226029805591,1.156226,2.9805591106324414e-8
whitlow_1978_thesis,es117,experimental,0.8873164948314665,0.887316,4.948314664687814e-7
whitlow_1978_thesis,es118,experimental,0.42901200216310964,0.429012,2.1631096358554203e-9
whitlow_1978_thesis,es119,experimental,0.4305772497473595,0.430577,2.497473595153288e-7
whitlow_1978_thesis,es120,experimental,0.5324748674820249,0.532475,1.325179751487937e-7
whitlow_1978_thesis,es121,experimental,0.49001193658930386,0.490012,6.341069613835515e-8
whitlow_1978_thesis,es122,experimental,0.4295262977979346,0.429526,2.977979345897275e-7
whitlow_1978_thesis,es123,experimental,0.3920945198545881,0.392095,4.801454119296444e-7
whitlow_1978_thesis,es124,experimental,0.3448016821304676,0.344802,3.178695324179692e-7
whitlow_1978_thesis,es125,experimental,0.31801358776002003,0.318014,4.122399799855181e-7
whitlow_1978_thesis,es126,experimental,0.31486073191174535,0.314861,2.680882546512997e-7
whitlow_1978_thesis,es127,experimental,0.30258471871527154,0.302585,2.8128472845390107e-7
whitlow_1978_thesis,es128,experimental,0.3586876642707413,0.358688,3.357292587269356e-7
whitlow_1978_thesis,es129,experimental,0.37818617703453944,0.378186,1.770345394169759e-7
abramova_2020_genpath,es130,experimental,6.070661500242482,6.070662,4.99757517147259e-7
