es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es032,abramova_2024_devneur,control,2.87,2.87,2.87,Reported mean; used unchanged,1.49,,1.49,Reported or previously approved SD; used unchanged,0.251856,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a,FALSE,,,,FALSE,TRUE
es033,abramova_2024_devneur,control,21.48,21.48,21.48,Reported mean; used unchanged,5.57,,5.57,Reported or previously approved SD; used unchanged,0.915702,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. c,FALSE,,,,FALSE,TRUE
es034,abramova_2024_devneur,control,21.46,21.46,21.46,Reported mean; used unchanged,9.73,,9.73,Reported or previously approved SD; used unchanged,1.64467,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3c; Fig. 3. c,FALSE,,,,FALSE,TRUE
es035,abramova_2024_devneur,control,50.7,50.7,50.7,Reported mean; used unchanged,14.38,,14.38,Reported or previously approved SD; used unchanged,2.364057,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. b,FALSE,,,,FALSE,TRUE
es036,abramova_2024_devneur,control,45.52,45.52,45.52,Reported mean; used unchanged,13.15,,13.15,Reported or previously approved SD; used unchanged,2.222756,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3b; Fig. 3. b,FALSE,,,,FALSE,TRUE
es037,abramova_2024_devneur,control,10.51,10.51,10.51,Reported mean; used unchanged,10.74,,10.74,Reported or previously approved SD; used unchanged,1.765645,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d,FALSE,,,,FALSE,TRUE
es038,abramova_2024_devneur,control,17.03,17.03,17.03,Reported mean; used unchanged,15.77,,15.77,Reported or previously approved SD; used unchanged,2.665617,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3d; Fig. 3. d,FALSE,,,,FALSE,TRUE
es039,abramova_2024_devneur,control,25.07,25.07,25.07,Reported mean; used unchanged,13.32,,13.32,Reported or previously approved SD; used unchanged,2.189795,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e,FALSE,,,,FALSE,TRUE
es040,abramova_2024_devneur,control,17.34,17.34,17.34,Reported mean; used unchanged,8.33,,8.33,Reported or previously approved SD; used unchanged,1.408027,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3e; Fig. 3. e,FALSE,,,,FALSE,TRUE
es041,abramova_2024_devneur,control,3.62,3.62,3.62,Reported mean; used unchanged,2.13,,2.13,Reported or previously approved SD; used unchanged,0.35017,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f,FALSE,,,,FALSE,TRUE
es042,abramova_2024_devneur,control,3.17,3.17,3.17,Reported mean; used unchanged,1.5,,1.5,Reported or previously approved SD; used unchanged,0.253546,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3f; Fig. 3. f,FALSE,,,,FALSE,TRUE
es043,abramova_2024_devneur,control,49.76,49.76,49.76,Reported mean; used unchanged,27.37,,27.37,Reported or previously approved SD; used unchanged,7.31494,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a,FALSE,,,,FALSE,TRUE
es044,abramova_2024_devneur,control,103.97,103.97,103.97,Reported mean; used unchanged,44.65,,44.65,Reported or previously approved SD; used unchanged,12.889345,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig4a; Fig.4. a,FALSE,,,,FALSE,TRUE
es045,abramova_2024_devneur,control,52.8,52.8,52.8,Reported mean; used unchanged,,4.3,26.15587888028234,SD = reported SE * sqrt(n),4.3,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png,FALSE,,,,FALSE,TRUE
es046,abramova_2024_devneur,control,54.8,54.8,54.8,Reported mean; used unchanged,,5.2,30.763614872118005,SD = reported SE * sqrt(n),5.2,Reported SE in author email; used unchanged for analysis,included_studies/abramova_2024_devneur/abramova_2024_devneur_author_email_sucrose_preference.png,FALSE,,,,FALSE,TRUE
es047,oliveira_2015_jbehavbraisci,control,9.33,9.33,9.33,Reported mean; used unchanged,25.13,7.25,25.13,Reported or previously approved SD; used unchanged,7.25,Reported SEM; used unchanged for analysis,oliveira_2015_jbehavbraisci_fig2b; Figure 2. b,FALSE,,,,FALSE,TRUE
