study_id,es_id,ex_id,con_id,out_id,shared_control,data_status,id_notes,outcome_id_notes,title,doi,publish_in,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,higher_better,effect_direction_label,higher_better_notes,c_mean,c_sd,c_n,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,c_median,c_q1,c_q3,ex_mean,ex_sd,ex_n,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source,ex_median,ex_q1,ex_q3,stat_comment,general_comment
nishio_2006_intjdevlneur,es059,ex015,con011,out033,Yes,Verified – no change,"one female, one male and one control group per sex",,Effects of perinatal stress on the anxiety-related behavior of  the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,Mus musculus,albino house mouse,ddY mice,,not reported,"mid, late",day 10 to 18,9,Intermitent,0.25,15 min,Other/Unclear,Unclear,90,,Unclear,No information,female,35,5 weeks,none,,Anxiety,Elevated Plus Maze (EPM),"To balance for potential locomotion biases, the number of entries and time on the open-arms
was expressed as a percentage of the total number of entries to all arms, or of the
time spent in all arms, respectively ((open/[close + open]) 100). The absolute
number of closed-arm entries was measured to dissociate the effect of the
treatment on anxiety and general motor activity.",Time in open arms (OAT),Percentage,%,Not reported,Fig. 2a,nishio_2006_intjdevlneur_fig2a,pre_n_f_oat,pre_so_f_oat,pre_n_f_oat,Yes,Negative,,18.69,6.84,5,3.06,3.06,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,,,,29.23,13.81,5,6.17,6.17,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2a; Fig. 2a,,,,,
nishio_2006_intjdevlneur,es060,ex014,con010,out034,Yes,Verified – no change,"one female, one male and one control group per sex",,Effects of perinatal stress on the anxiety-related behavior of  the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,Mus musculus,albino house mouse,ddY mice,,not reported,"mid, late",day 10 to 18,9,Intermitent,0.25,15 min,Other/Unclear,Unclear,90,,Unclear,No information,male,35,5 weeks,none,,Anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),Percentage,%,Not reported,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_m_oae,pre_so_m_oae,pre_n_m_oae,Yes,Negative,,39.61,9.64,5,4.31,4.31,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,,,,46.66,7.78,5,3.48,3.48,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,,,,,
nishio_2006_intjdevlneur,es061,ex015,con011,out034,Yes,Verified – no change,"one female, one male and one control group per sex",,Effects of perinatal stress on the anxiety-related behavior of  the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,Mus musculus,albino house mouse,ddY mice,,not reported,"mid, late",day 10 to 18,9,Intermitent,0.25,15 min,Other/Unclear,Unclear,90,,Unclear,No information,female,35,5 weeks,none,,Anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),Percentage,%,Not reported,Fig. 2b,nishio_2006_intjdevlneur_fig2b,pre_n_f_oae,pre_so_f_oae,pre_n_f_oae,Yes,Negative,,33.07,7.6,5,3.4,3.4,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,,,,42.1,14.82,5,6.63,6.63,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2b; Fig. 2b,,,,,
nishio_2006_intjdevlneur,es062,ex014,con010,out035,Yes,Verified – no change,"one female, one male and one control group per sex",,Effects of perinatal stress on the anxiety-related behavior of  the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,Mus musculus,albino house mouse,ddY mice,,not reported,"mid, late",day 10 to 18,9,Intermitent,0.25,15 min,Other/Unclear,Unclear,90,,Unclear,No information,male,35,5 weeks,none,,Anxiety,Elevated Plus Maze (EPM),,Entries to closed arms,Count,Count,Not reported,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_m_cae,pre_so_m_cae,pre_n_m_cae,Yes,Negative,,3.97,1.71,5,0.76,0.76,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,,,,3.58,1.18,5,0.53,0.53,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,,,,,
nishio_2006_intjdevlneur,es063,ex015,con011,out035,Yes,Verified – no change,"one female, one male and one control group per sex",,Effects of perinatal stress on the anxiety-related behavior of  the adolescence mouse,10.1016/j.ijdevneu.2006.02.003,International Journal of Developemental Neuroscience,Mus musculus,albino house mouse,ddY mice,,not reported,"mid, late",day 10 to 18,9,Intermitent,0.25,15 min,Other/Unclear,Unclear,90,,Unclear,No information,female,35,5 weeks,none,,Anxiety,Elevated Plus Maze (EPM),,Entries to closed arms,Count,Count,Not reported,Fig. 2c,nishio_2006_intjdevlneur_fig2c,pre_n_f_cae,pre_so_f_cae,pre_n_f_cae,Yes,Negative,,6.68,2.41,5,1.08,1.08,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,,,,4.55,1.15,5,0.51,0.51,Reported SEM; used unchanged for analysis,nishio_2006_intjdevlneur_fig2c; Fig. 2c,,,,,
uygur_2011_ankarauniv,es064,ex016,con012,out036,Yes,Verified – no change,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total immobility time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_in,PSN_in,CON_PSN_in1,No,Positive,,45.87,,9,8.29,8.29,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,26.79,,10,7.86,7.86,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,1st day
uygur_2011_ankarauniv,es065,ex016,con012,out036,Yes,Verified – no change,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total immobility time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_in,PSN_in,CON_PSN_in2,No,Positive,,79.05,,9,13.52,13.52,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,48.87,,10,12.83,12.83,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,2nd day
uygur_2011_ankarauniv,es066,ex016,con012,out037,Yes,Verified – no change,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total swimming time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_sw,PSN_sw,CON_PSN_sw1,Yes,Negative,,20.09,,9,6.28,6.28,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,39.08,,10,5.96,5.96,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,1st day
uygur_2011_ankarauniv,es067,ex016,con012,out037,Yes,Verified – no change,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total swimming time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_sw,PSN_sw,CON_PSN_sw2,Yes,Negative,,31.89,,9,13.15,13.15,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,33.44,,10,12.48,12.48,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,2nd day
uygur_2011_ankarauniv,es068,ex016,con012,out038,Yes,Corrected transcription,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total diving time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_di,PSN_di,CON_PSN_di1,Yes,Negative,,5.44,,9,1.49,1.49,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,6.2,,10,1.42,1.42,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,1st day
uygur_2011_ankarauniv,es069,ex016,con012,out038,Yes,Corrected transcription,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total diving time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_di,PSN_di,CON_PSN_di2,Yes,Negative,,2.56,,9,0.95,0.95,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,1.7,,10,0.9,0.9,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,2nd day
uygur_2011_ankarauniv,es070,ex016,con012,out039,Yes,Corrected transcription,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total jumping time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_ju,PSN_ju,CON_PSN_ju1,Yes,Negative,,26.78,,9,4.89,4.89,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,23,,10,4.64,4.64,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,1st day
uygur_2011_ankarauniv,es071,ex016,con012,out039,Yes,Corrected transcription,One treatmentent group and one control,,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test,10.1501/Vetfak_0000002481,Ankara Üniv Vet Fak Derg,Rattus norvegicus,albino rat,Sprague-Dawley,,205±3 g body weight,"mid, late",day 14 to 21,9,Intermitent,0.75,45 min,White noise,Audible,100,,Unclear,PC group remained undisturbed,male,70,,none,,Depression,Forced Swimming Test (FST),"Placed individually into cylinder, swam 15 min first day, 5 mins second day",Total jumping time,Time,s,Light phase,In paper: Table 2.,uygur_2011_ankarauniv.pdf,CON_ju,PSN_ju,CON_PSN_ju2,Yes,Negative,,16,,9,3.93,3.93,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,18.4,,10,3.73,3.73,Reported SEM; used unchanged for analysis,uygur_2011_ankarauniv.pdf; In paper: Table 2.,,,,,2nd day
morra_1965_physiolrec,es072,ex017,con013,out040,Yes,Verified – no change,One control and one treatment,,PRENATAL SOUND STIMULATION ON POSTNATAL RAT OFFSPRING OPEN FIELD BEHAVIORS,10.1007/BF03393632,The psychological Record,Rattus norvegicus,albino rat,Wistar rat,18,120-140 days,"mid, late",day 12-20,9,Intermitent,0.005,"There was a noise of 3.25 sec. duration produced bya door buzzer. for eight consecutive days. Each animal received three trials, twice daily, with an interblock interval of approximately one hour.",Door bell,Audible,85,,Unclear,"Same manipulation with no door bell, but they don't mention anything about noise conditions",mixed,25,,none,,Axiety,Open Field Test (OFT),,Sections crossed,Count,Count,Not reported,Table 2 and text,,GIII_csq,GII_csq,GIII_GII_csq,Yes,Negative,,19.5,8.4,63,,1.058301,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,,,14.2,8.3,35,,1.402956,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,,,,No SE or CI
morra_1965_physiolrec,es073,ex017,con013,out041,Yes,Verified – no change,One control and one treatment,,PRENATAL SOUND STIMULATION ON POSTNATAL RAT OFFSPRING OPEN FIELD BEHAVIORS,10.1007/BF03393632,The psychological Record,Rattus norvegicus,albino rat,Wistar rat,18,120-140 days,"mid, late",day 12-20,9,Intermitent,0.005,"There was a noise of 3.25 sec. duration produced bya door buzzer. for eight consecutive days. Each animal received three trials, twice daily, with an interblock interval of approximately one hour.",Door bell,Audible,85,,Unclear,"Same manipulation with no door bell, but they don't mention anything about noise conditions",mixed,25,,none,,Axiety,Open Field Test (OFT),,Initial latency to move,Latency,s,Not reported,Table 2 and text,,GIII_il,GII_il,GIII_GII_il,No,Positive,,13.1,7.9,63,,0.995306,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,,,18.8,8.2,35,,1.386053,SD / sqrt(n); derived for analysis from the extracted SD and sample size,Table 2 and text,,,,,No SE or CI
abramova_2021_front,es074,ex018,con014,out042,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),Square arena on PND20,Sections crossed,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_sq,PS_f_sq,C_PS_f_sq,Yes,Negative,,33.73913,16.895985,23,,3.523056,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,24.8421,12.6985,19,,2.913236,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es075,ex019,con015,out042,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",male,20,,none,,Axiety,Open Field Test (OFT),,Sections crossed,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_m_sq,PS_m_sq,C_PS_m_sq,Yes,Negative,,29,15.790292,25,,3.158058,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,22.1667,14.5733,18,,3.43496,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es076,ex018,con014,out043,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),,Rearing frequency,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_re,PS_f_re,C_PS_f_re,Yes,Negative,,10.130435,8.7558,23,,1.825711,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,6.8947,4.4208,19,,1.014201,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es077,ex019,con015,out043,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",male,20,,none,,Axiety,Open Field Test (OFT),,Rearing frequency,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_m_re,PS_m_re,C_PS_m_re,Yes,Negative,,8.92,6.933734,25,,1.386747,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,4.3889,4.1747,18,,0.983986,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es078,ex018,con014,out044,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),,Center entries (crossing),Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_cen,PS_f_cen,C_PS_f_cen,Yes,Negative,,2.26087,2.526539,23,,0.52682,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,1.3158,2.029,19,,0.465485,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es079,ex019,con015,out044,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",male,20,,none,,Axiety,Open Field Test (OFT),,Center entries (crossing),Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_m_cen,PS_m_cen,C_PS_m_cen,Yes,Negative,,1.16,1.491085,25,,0.298217,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,0.8889,2.3235,18,,0.547654,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es080,ex018,con014,out045,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),,Time in central square,Time,s,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_centt,PS_f_centt,C_PS_f_centt,Yes,Negative,,5.176957,6.837676,23,,1.425754,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,2.9368,5.119,19,,1.174379,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es081,ex019,con015,out045,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",male,20,,none,,Axiety,Open Field Test (OFT),,Time in central square,Time,s,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_m_centt,PS_m_centt,C_PS_m_centt,Yes,Negative,,2.0964,3.390067,25,,0.678013,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,0.7739,2.1925,18,,0.516777,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es082,ex018,con014,out046,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),,Grooming frequency,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_gfr,PS_f_gfr,C_PS_f_gfr,No,Positive,,2.652174,1.465007,23,,0.305475,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,2.7895,1.782,19,,0.408819,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es083,ex019,con015,out046,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",male,20,,none,,Axiety,Open Field Test (OFT),,Grooming frequency,Count,Count,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_m_gfr,PS_m_gfr,C_PS_m_gfr,No,Positive,,3.76,1.665333,25,,0.333067,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,3,1.7489,18,,0.41222,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
abramova_2021_front,es084,ex018,con014,out047,Yes,Corrected transcription,"One control female, one male and one experimental female and one male",,The Behavior and Postnatal Development in Infant and Juvenile Rats After Ultrasound-Induced Chronic Prenatal Stress,10.3389/fphys.2021.659366,Frontiers in Physiology,Rattus norvegicus,albino rat,Wistar rat,,not reported,"early, mid, late",3 weeks,21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"""normal conditions without ultrasound""",female,20,,none,,Axiety,Open Field Test (OFT),,Total grooming time,Time,s,Light phase,Author raw data,included_studies/abramova_2021_front/abramova_2021_front.xlsx,C_f_gtt,PS_f_gtt,C_PS_f_gtt,No,Positive,,16.378696,13.13384,23,,2.738595,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,28.2516,24.6902,19,,5.66432,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",,,,Extracted all from raw data,
