filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
badache_2017_stress_5a.png,Time in corners,Ns_cor,253.7837838,51.89189189,16,NA,12.97297297,se,mean_error
badache_2017_stress_5b.png,Crossed squares,Cn_sq,70.43824701,16.14873838,16,NA,4.037184595,se,mean_error
badache_2017_stress_5b.png,Crossed squares,Ns_sq,45.25896414,8.924302789,16,NA,2.231075697,se,mean_error
badache_2017_stress_5c.png,Time in center,Cn_cen,4.133597884,0.925925926,16,NA,0.231481481,se,mean_error
badache_2017_stress_5c.png,Time in center,Ns_cen,0.178571429,0.264550265,16,NA,0.066137566,se,mean_error
badache_2017_stress_5d.png,Rearing time,Cn_re,22.00386598,5.025773196,16,NA,1.256443299,se,mean_error
badache_2017_stress_5d.png,Rearing time,Ns_re,8.537371134,1.932989691,16,NA,0.483247423,se,mean_error
badache_2017_stress_6a.png,Time in open arms,Cn_oat,135.5102041,31.83673469,16,NA,7.959183673,se,mean_error
badache_2017_stress_6a.png,Time in open arms,Ns_oat,67.95918367,14.69387755,16,NA,3.673469388,se,mean_error
badache_2017_stress_6b.png,Rearing time,Cn_rt,18.11643836,4.520547945,16,NA,1.130136986,se,mean_error
badache_2017_stress_6b.png,Rearing time,Ns_rt,7.773972603,2.054794521,16,NA,0.51369863,se,mean_error
barzegar_2014_figure2a.png,Number of entries to the open arms (%),CON,32.06666667,10.96256256,10,NA,3.466666667,se,mean_error
barzegar_2014_figure2a.png,Number of entries to the open arms (%),N1,33.93333333,19.60612149,10,NA,6.2,se,mean_error
barzegar_2014_figure2a.png,Number of entries to the open arms (%),N2,14.26666667,8.432740427,10,NA,2.666666667,se,mean_error
barzegar_2014_figure2a.png,Number of entries to the open arms (%),N4,15.33333333,8.854377448,10,NA,2.8,se,mean_error
barzegar_2014_figure2b.png,Duration in open arms (%),CON,30.01564945,6.408684773,10,NA,2.026604069,se,mean_error
barzegar_2014_figure2b.png,Duration in open arms (%),N1,30.78247261,4.330192414,10,NA,1.369327074,se,mean_error
barzegar_2014_figure2b.png,Duration in open arms (%),N2,21.5258216,5.715853987,10,NA,1.807511737,se,mean_error
barzegar_2014_figure2b.png,Duration in open arms (%),N4,16.92488263,8.313969435,10,NA,2.629107981,se,mean_error
hadizadeh_2018_irjbamedsci_fig2A.png,Open arm entries (%),CON_en,57.82378642,6.438038105,6,NA,2.62831805,se,mean_error
hadizadeh_2018_irjbamedsci_fig2A.png,Open arm entries (%),ST_en,20.82513182,2.839128764,6,NA,1.159069464,se,mean_error
hadizadeh_2018_irjbamedsci_fig2B.png,Open arm time (%),CON_ti,42.47663551,2.47238217,6,NA,1.009345794,se,mean_error
hadizadeh_2018_irjbamedsci_fig2B.png,Open arm time (%),ST_ti,19.00934579,4.12063695,6,NA,1.682242991,se,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Exp_rear,23.05699482,1.986183074,6,NA,0.810855845,sd,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Control_loco,28.92918826,4.058721934,6,NA,1.656966291,sd,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Exp_loco,30.82901554,2.07253886,6,NA,0.846110447,sd,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Control_sniff,44.00388405,2.183118579,6,NA,0.891254428,sd,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Control_rear,15.45768566,1.208981002,6,NA,0.493564427,sd,mean_error
hassanvand_2012_phyphar_Figure2.png,Number of Behaviour (Count/10min),Exp_sniff,38.34196891,2.763385147,6,NA,1.128147262,sd,mean_error
nishio_2006_intjdevlneur_fig2a.png,Time in open arms %,pre_n_m_oat,27.15846995,13.80741429,5,NA,6.174863388,se,mean_error
nishio_2006_intjdevlneur_fig2a.png,Time in open arms %,pre_so_m_oat,24.15300546,7.942317953,5,NA,3.551912568,se,mean_error
nishio_2006_intjdevlneur_fig2a.png,Time in open arms %,pre_N_f_oat,18.68852459,6.84261239,5,NA,3.06010929,se,mean_error
nishio_2006_intjdevlneur_fig2a.png,Time in open arms %,pre_so_f_oat,29.23497268,13.80741429,5,NA,6.174863388,se,mean_error
nishio_2006_intjdevlneur_fig2b.png,Entries open arms %,pre_n_m_oae,39.61325967,9.636094047,5,NA,4.309392265,se,mean_error
nishio_2006_intjdevlneur_fig2b.png,Entries open arms %,pre_so_m_oae,46.65745856,7.782999038,5,NA,3.480662983,se,mean_error
nishio_2006_intjdevlneur_fig2b.png,Entries open arms %,pre_n_f_oae,33.06629834,7.597689537,5,NA,3.397790055,se,mean_error
nishio_2006_intjdevlneur_fig2b.png,Entries open arms %,pre_so_f_oae,42.09944751,14.82476007,5,NA,6.629834254,se,mean_error
nishio_2006_intjdevlneur_fig2c.png,Closed Arm Entries,pre_n_m_cae,3.973684211,1.70647293,5,NA,0.763157895,se,mean_error
nishio_2006_intjdevlneur_fig2c.png,Closed Arm Entries,pre_so_m_cae,3.578947368,1.176877883,5,NA,0.526315789,se,mean_error
nishio_2006_intjdevlneur_fig2c.png,Closed Arm Entries,pre_n_f_cae,6.684210526,2.41259966,5,NA,1.078947368,se,mean_error
nishio_2006_intjdevlneur_fig2c.png,Closed Arm Entries,pre_so_f_cae,4.552631579,1.147455936,5,NA,0.513157895,se,mean_error
