study_id,es_id,csv_row,data_source,data_file,control_group,experimental_group,c_status,c_meta_group,c_meta_file,c_mean_meta,c_sd_meta,c_n_meta,c_se_meta,ex_status,ex_meta_group,ex_meta_file,ex_mean_meta,ex_sd_meta,ex_n_meta,ex_se_meta,overall_status,meta_files,notes
abramova_2024_devneur,es030,31,Fig. 2. e,abramova_2024_devneur_fig2e,Con_m_mg,PS_m_mg,match,Con_m_mg,abramova_2024_devneur_fig2e.png,7.12927756653993,4.67234119275678,35.0,0.789769807720342,match,PS_m_mg,abramova_2024_devneur_fig2e.png,12.148288973384,7.16696267265418,44.0,1.0804602759853,match,abramova_2024_devneur_fig2e.png,
abramova_2024_devneur,es031,32,Fig. 3. a,abramova_2024_devneur_fig3a,Con_f_ce,PS_f_ce,match,Con_f_ce,abramova_2024_devneur_fig3a.png,2.45575221238938,1.20759198157348,37.0,0.19852689884875,match,PS_f_ce,abramova_2024_devneur_fig3a.png,2.20132743362832,1.90548876138967,49.0,0.272212680198525,match,abramova_2024_devneur_fig3a.png,
abramova_2024_devneur,es032,33,Fig. 3. a,abramova_2024_devneur_fig3a,Con_m_ce,PS_m_ce,match,Con_m_ce,abramova_2024_devneur_fig3a.png,2.8733407079646,1.49482253855315,35.0,0.252671125704456,match,PS_m_ce,abramova_2024_devneur_fig3a.png,1.48230088495575,1.35475618799708,44.0,0.204237179909022,match,abramova_2024_devneur_fig3a.png,
abramova_2024_devneur,es033,34,Fig. 3. c,abramova_2024_devneur_fig3b,Con_f_re,PS_f_re,unmatched,,,,,,,unmatched,,,,,,,review,,c group not uniquely matched; ex group not uniquely matched
abramova_2024_devneur,es034,35,Fig. 3. c,abramova_2024_devneur_fig3b,Con_m_re,PS_m_re,unmatched,,,,,,,unmatched,,,,,,,review,,c group not uniquely matched; ex group not uniquely matched
abramova_2024_devneur,es035,36,Fig. 3. b,abramova_2024_devneur_fig3c,Con_f_cs,PS_f_cs,unmatched,,,,,,,unmatched,,,,,,,review,,c group not uniquely matched; ex group not uniquely matched
abramova_2024_devneur,es036,37,Fig. 3. b,abramova_2024_devneur_fig3c,Con_m_cs,PS_m_cs,unmatched,,,,,,,unmatched,,,,,,,review,,c group not uniquely matched; ex group not uniquely matched
abramova_2024_devneur,es037,38,Fig. 3. d,abramova_2024_devneur_fig3d,Con_f_fr,PS_f_fr,match,Con_f_fr,abramova_2024_devneur_fig3d.png,10.50796812749,10.7353970004845,37.0,1.76488839520062,match,PS_f_fr,abramova_2024_devneur_fig3d.png,31.1254980079681,30.8137121446706,49.0,4.40195887781009,match,abramova_2024_devneur_fig3d.png,
abramova_2024_devneur,es038,39,Fig. 3. d,abramova_2024_devneur_fig3d,Con_m_fr,PS_m_fr,match,Con_m_fr,abramova_2024_devneur_fig3d.png,17.0318725099601,15.7745388640987,35.0,2.66638372747467,match,PS_m_fr,abramova_2024_devneur_fig3d.png,51.6932270916335,49.0192681378603,44.0,7.38993272323209,match,abramova_2024_devneur_fig3d.png,
abramova_2024_devneur,es039,40,Fig. 3. e,abramova_2024_devneur_fig3e,Con_f_grd,PS_f_grd,match,Con_f_grd,abramova_2024_devneur_fig3e.png,25.0686813186813,13.3203207704177,37.0,2.18984724523919,match,PS_f_grd,abramova_2024_devneur_fig3e.png,29.1208791208791,17.1991404037892,49.0,2.45702005768417,match,abramova_2024_devneur_fig3e.png,
abramova_2024_devneur,es040,41,Fig. 3. e,abramova_2024_devneur_fig3e,Con_m_grd,PS_m_grd,match,Con_m_grd,abramova_2024_devneur_fig3e.png,17.342032967033,8.3293755367872,35.0,1.40792143482946,match,PS_m_grd,abramova_2024_devneur_fig3e.png,40.3846153846154,25.2968084729021,44.0,3.81363736809544,match,abramova_2024_devneur_fig3e.png,
abramova_2024_devneur,es041,42,Fig. 3. f,abramova_2024_devneur_fig3f,Con_f_gf,PS_f_gf,match,Con_f_gf,abramova_2024_devneur_fig3f.png,3.61502918287938,2.12558931248297,37.0,0.349444730399291,match,PS_f_gf,abramova_2024_devneur_fig3f.png,4.49051556420234,2.17857850641537,49.0,0.311225500916481,match,abramova_2024_devneur_fig3f.png,
abramova_2024_devneur,es042,43,Fig. 3. f,abramova_2024_devneur_fig3f,Con_m_gf,PS_m_gf,match,Con_m_gf,abramova_2024_devneur_fig3f.png,3.16999027237354,1.49552778903488,35.0,0.252790334793512,match,PS_m_gf,abramova_2024_devneur_fig3f.png,4.46498054474708,2.77575580633987,44.0,0.418460932694534,match,abramova_2024_devneur_fig3f.png,
abramova_2024_devneur,es043,44,Fig.4. a,abramova_2024_devneur_fig4a,Con_f_ti,PS_f_ti,match,Con_f_ti,abramova_2024_devneur_fig4a.png,49.7557726465364,27.3728627905133,14.0,7.31570530409098,match,PS_f_ti,abramova_2024_devneur_fig4a.png,86.1234458259325,19.4253246426584,13.0,5.38761569551069,match,abramova_2024_devneur_fig4a.png,
abramova_2024_devneur,es044,45,Fig.4. a,abramova_2024_devneur_fig4a,Con_m_ti,PS_m_ti,match,Con_m_ti,abramova_2024_devneur_fig4a.png,103.974245115453,44.6493811419305,12.0,12.8891661107219,match,PS_m_ti,abramova_2024_devneur_fig4a.png,128.285968028419,46.0646831138378,14.0,12.3113044173066,match,abramova_2024_devneur_fig4a.png,
oliveira_2015_jbehavbraisci,es047,48,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_BL,IE_BL,match,C_BL,oliveira_2015_jbehavbraisci_fig2b.png,9.32642487046635,25.1281982445226,12.0,7.25388601036269,match,IE_BL,oliveira_2015_jbehavbraisci_fig2b.png,6.21761658031091,14.3589704254415,12.0,4.14507772020725,match,oliveira_2015_jbehavbraisci_fig2b.png,
oliveira_2015_jbehavbraisci,es048,49,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_A1,IE_A1,match,C_A1,oliveira_2015_jbehavbraisci_fig2b.png,56.4766839378239,118.461506009892,12.0,34.1968911917099,match,IE_A1,oliveira_2015_jbehavbraisci_fig2b.png,86.5284974093265,131.025605132153,12.0,37.8238341968911,match,oliveira_2015_jbehavbraisci_fig2b.png,
oliveira_2015_jbehavbraisci,es049,50,Figure 2. b,oliveira_2015_jbehavbraisci_fig2b,C_A2,IE_A2,match,C_A2,oliveira_2015_jbehavbraisci_fig2b.png,103.108808290155,129.230733828973,12.0,37.3056994818653,match,IE_A2,oliveira_2015_jbehavbraisci_fig2b.png,136.269430051814,147.179446860775,12.0,42.4870466321244,match,oliveira_2015_jbehavbraisci_fig2b.png,
oliveira_2015_jbehavbraisci,es050,51,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F1,IE_F1,match,C_F1,oliveira_2015_jbehavbraisci_fig3b.png,5.34285714285714,3.85999894258206,12.0,1.11428571428571,match,IE_F1,oliveira_2015_jbehavbraisci_fig3b.png,6.54285714285714,8.21486954446953,12.0,2.37142857142857,match,oliveira_2015_jbehavbraisci_fig3b.png,
oliveira_2015_jbehavbraisci,es051,52,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F2,IE_F2,match,C_F2,oliveira_2015_jbehavbraisci_fig3b.png,6.8,8.01692088074738,12.0,2.31428571428571,match,IE_F2,oliveira_2015_jbehavbraisci_fig3b.png,6.6,4.05794760630423,12.0,1.17142857142857,match,oliveira_2015_jbehavbraisci_fig3b.png,
oliveira_2015_jbehavbraisci,es052,53,Figure 3. b,oliveira_2015_jbehavbraisci_fig3b,C_F3,IE_F3,match,C_F3,oliveira_2015_jbehavbraisci_fig3b.png,6.45714285714286,7.71999788516414,12.0,2.22857142857143,match,IE_F3,oliveira_2015_jbehavbraisci_fig3b.png,13.2,15.4399957703283,12.0,4.45714285714286,match,oliveira_2015_jbehavbraisci_fig3b.png,
pavlov_2023_molsci,es053,54,Figure 4A,pavlov_2023_molsci_Fig4A,NonSt_su,US_su,match,NonSt_su,pavlov_2023_molsci_Fig4A.png,71.5988779803647,9.72023378841253,10.0,3.07380781607108,match,US_su,pavlov_2023_molsci_Fig4A.png,40.4803646563815,13.4935810781756,14.0,3.60631123679919,match,pavlov_2023_molsci_Fig4A.png,
pavlov_2023_molsci,es054,55,Figure 4C,pavlov_2023_molsci_Fig4C,NonSt_sq,US_sq,match,NonSt_sq,pavlov_2023_molsci_Fig4C.png,10.5544488711819,6.17178892630989,10.0,1.95169102449443,match,Us_sq,pavlov_2023_molsci_Fig4C.png,6.39774236387782,3.17018860346563,14.0,0.847268543258839,match,pavlov_2023_molsci_Fig4C.png,
